<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
country_china;China;;;;;;;;;;;;;;;;;;;;
country_britain;United Kingdom;;;;;;;;;;;;;;;;;;;;
country_usa;USA;;;;;;;;;;;;;;;;;;;;
country_usa_modern;USA;;;;;;;;;;;;;;;;;;;;
country_germany_weimar_republic;Deutsches Reich;;;;;;;;;;;;;;;;;;;;
country_germany;Großdeutsches Reich;;;;;;;;;;;;;;;;;;;;
country_germany_empire_navy;Deutsches Reich;;;;;;;;;;;;;;;;;;;;
country_germany_modern;Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;
country_germany/short;Germany;;;;;;;;;;;;;;;;;;;;
country_japan;Empire of Japan;;;;;;;;;;;;;;;;;;;;
country_ussr;SSSR;;;;;;;;;;;;;;;;;;;;
country_russia;Rossiyskaya Federatsiya;;;;;;;;;;;;;;;;;;;;
country_russia_empire_navy;Rossiyskaya Imperiya;;;;;;;;;;;;;;;;;;;;
country_ussr/short;CCCP;;;;;;;;;;;;;;;;;;;;
country_sweden;Konungariket Sverige;;;;;;;;;;;;;;;;;;;;
country_australia;Commonwealth of Australia;;;;;;;;;;;;;;;;;;;;
country_austria;Republik Österreich;;;;;;;;;;;;;;;;;;;;
country_italy_kingdom;Regno d'Italia;;;;;;;;;;;;;;;;;;;;
country_italy;Repubblica Italiana;;;;;;;;;;;;;;;;;;;;
country_belgium;Kingdom of Belgium;;;;;;;;;;;;;;;;;;;;
country_bulgaria;Republic of Bulgaria;;;;;;;;;;;;;;;;;;;;
country_brazil;Republic of Brazil;;;;;;;;;;;;;;;;;;;;
country_canada;Canada;;;;;;;;;;;;;;;;;;;;
country_finland;Republic of Finland;;;;;;;;;;;;;;;;;;;;
country_france;France;;;;;;;;;;;;;;;;;;;;
country_greece;Hellenic Republic;;;;;;;;;;;;;;;;;;;;
country_greece_modern;Hellenic Republic;;;;;;;;;;;;;;;;;;;;
country_hungary;Kingdom of Hungary;;;;;;;;;;;;;;;;;;;;
country_hungary_modern;Hungary;;;;;;;;;;;;;;;;;;;;
country_iraq;Republic of Iraq;;;;;;;;;;;;;;;;;;;;
country_netherlands;Netherlands;;;;;;;;;;;;;;;;;;;;
country_new_zealand;New Zealand;;;;;;;;;;;;;;;;;;;;
country_norway;Kongeriket Norge;;;;;;;;;;;;;;;;;;;;
country_poland;Poland;;;;;;;;;;;;;;;;;;;;
country_romania;Romania;;;;;;;;;;;;;;;;;;;;
country_south_africa;Republic of South Africa;;;;;;;;;;;;;;;;;;;;
country_thailand;Kingdom of Thailand;;;;;;;;;;;;;;;;;;;;
country_yugoslavia;Jugoslavija;;;;;;;;;;;;;;;;;;;;
country_korea;Republic of Korea;;;;;;;;;;;;;;;;;;;;
country_japan_modern;Japan;;;;;;;;;;;;;;;;;;;;
country_portugal;Republica Portuguesa;;;;;;;;;;;;;;;;;;;;
country_syria;Syrian Arab Republic;;;;;;;;;;;;;;;;;;;;
country_canada_modern;Canada;;;;;;;;;;;;;;;;;;;;
country_argentina;Republica Argentina;;;;;;;;;;;;;;;;;;;;
country_south_africa_modern;Republic of South Africa;;;;;;;;;;;;;;;;;;;;
country_vietnam;Socialist Republic of Vietnam;;;;;;;;;;;;;;;;;;;;
country_turkey;Republic of Turkey;;;;;;;;;;;;;;;;;;;;
country_cuba;Republic of Cuba;;;;;;;;;;;;;;;;;;;;
country_philippines;Republic of the Philippines;;;;;;;;;;;;;;;;;;;;
country_czech;Česká republika;;;;;;;;;;;;;;;;;;;;
country_gdr;Deutsche Demokratische Republik;;;;;;;;;;;;;;;;;;;;
country_north_korea;Republic of Korea;;;;;;;;;;;;;;;;;;;;
country_bangladesh;People's Republic of Bangladesh;;;;;;;;;;;;;;;;;;;;
country_republic_china;Republic of China;;;;;;;;;;;;;;;;;;;;
country_pakistan;Islamic Republic of Pakistan;;;;;;;;;;;;;;;;;;;;
country_ireland;Éire;;;;;;;;;;;;;;;;;;;;
country_slovakia;Slovenská republika;;;;;;;;;;;;;;;;;;;;
country_saudi_arabia;Kingdom of Saudi Arabia;;;;;;;;;;;;;;;;;;;;
country_spain;Reino de España;;;;;;;;;;;;;;;;;;;;
country_jordan;Kingdom of Jordan;;;;;;;;;;;;;;;;;;;;
country_britain_empire_navy;United Kingdom of Great Britain and Northern Ireland;;;;;;;;;;;;;;;;;;;;
country_switzerland;Swiss Confederation;;;;;;;;;;;;;;;;;;;;
country_india;Republic of India;;;;;;;;;;;;;;;;;;;;
country_kazakhstan;Republic of Kazakhstan;;;;;;;;;;;;;;;;;;;;
country_lithuania;Republic of Lithuania;;;;;;;;;;;;;;;;;;;;
country_oman;Sultanate of Oman;;;;;;;;;;;;;;;;;;;;
country_denmark;Kongeriget Danmark;;;;;;;;;;;;;;;;;;;;
country_kuwait;State of Kuwait;;;;;;;;;;;;;;;;;;;;
country_egypt;Arab Republic of Egypt;;;;;;;;;;;;;;;;;;;;
country_israel;State of Israel;;;;;;;;;;;;;;;;;;;;
country_israel/short;Israel;;;;;;;;;;;;;;;;;;;;
country_iran;Islamic Republic of Iran;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
shop/group/yak-1_group;Jak-1-1 / 127;;;;;;;;;;;;;;;;;;;;
